,player,salary,team,position,opp,ceiling,floor,proj_points
0,Benny Cunningham,3700,LAR,RB,CAR,3.1682,1.1718,2.17
1,Todd Gurley,5800,LAR,RB,CAR,20.9664,8.1536,14.56
2,DeMarco Murray,7600,TEN,RB,SDC,25.681,16.419,21.05
3,Derrick Henry,5000,TEN,RB,SDC,6.8849,4.4951,5.69
4,Kenneth Farrow,3000,SDC,RB,TEN,2.8,0,1.4
5,Melvin Gordon,6300,SDC,RB,TEN,27.056,8.544,17.8
6,Fozzy Whittaker,3200,CAR,RB,LAR,10.0521,3.0879,6.57
7,Jonathan Stewart,5200,CAR,RB,LAR,20.561,7.799,14.18
8,Tim Hightower,4000,NOS,RB,SFO,13.981,4.059,9.02
9,Mark Ingram,4800,NOS,RB,SFO,16.317,9.583,12.95
10,John Kuhn,3000,NOS,RB,SFO,5.3742,0.9858,3.18
11,Carlos Hyde,6100,SFO,RB,NOS,20.6883,11.8917,16.29
12,Travaris Cadet,3000,NOS,RB,SFO,13.5,0,6.75
13,Shaun Draughn,3800,SFO,RB,NOS,7.9128,1.5072,4.71
14,Dexter McCluster,3000,SDC,RB,TEN,4.1535,0.1065,2.13
15,Robert Turbin,3400,IND,RB,GBP,,,3.89
16,LeSean McCoy,6200,BUF,RB,SEA,21.948,6.372,14.16
17,Mike Gillislee,4100,BUF,RB,SEA,7.0518,2.6082,4.83
18,Christine Michael,6700,SEA,RB,BUF,19.608,10.792,15.2
19,C.J. Prosise,3300,SEA,RB,BUF,10.5846,1.3754,5.98
20,Alex Collins,3000,SEA,RB,BUF,2.3478,0.2322,1.29
21,Reggie Bush,3000,BUF,RB,SEA,6.9342,0.6858,3.81
22,Jalen Richard,3000,OAK,RB,DEN,9.1546,0.9054,5.03
23,DeAndre Washington,3300,OAK,RB,DEN,4.8708,3.0492,3.96
24,Josh Ferguson,3000,IND,RB,GBP,5.676,3.124,4.4
25,Frank Gore,4500,IND,RB,GBP,14.544,9.696,12.12
26,Don Jackson,3100,GBP,RB,IND,3.8807,1.2593,2.57
27,Devontae Booker,6400,DEN,RB,OAK,21.2704,10.0096,15.64
28,Latavius Murray,4000,OAK,RB,DEN,15.912,8.568,12.24
29,Kapri Bibbs,3500,DEN,RB,OAK,,,4.25
30,Kenneth Dixon,3600,BAL,RB,PIT,7.7054,5.3546,6.53
31,Terrance West,4700,BAL,RB,PIT,17.2656,6.7144,11.99
32,Bilal Powell,4100,NYJ,RB,MIA,14.418,3.382,8.9
33,Matt Forte,6500,NYJ,RB,MIA,23.6316,9.8884,16.76
34,Damien Williams,3100,MIA,RB,NYJ,9.2421,0.5379,4.89
35,Jay Ajayi,6000,MIA,RB,NYJ,22.9554,5.3846,14.17
36,Darren Sproles,3900,PHI,RB,NYG,18.589,7.051,12.82
37,Ryan Mathews,4100,PHI,RB,NYG,15.0748,2.7652,8.92
38,Duke Johnson,4000,CLE,RB,DAL,13.8546,7.6254,10.74
39,Isaiah Crowell,3900,CLE,RB,DAL,14.1906,6.9894,10.59
40,Terron Ward,3000,ATL,RB,TBB,12.0834,4.3566,8.22
41,Devonta Freeman,6700,ATL,RB,TBB,23.3294,11.4906,17.41
42,Antone Smith,3000,TBB,RB,ATL,16.1018,6.4182,11.26
43,Peyton Barber,3000,TBB,RB,ATL,12.2836,2.6964,7.49
44,Alfred Morris,4600,DAL,RB,CLE,5.52,2.48,4
45,Ezekiel Elliott,7900,DAL,RB,CLE,27.6354,19.6046,23.62
46,Rashad Jennings,3900,NYG,RB,PHI,16.2495,4.4505,10.35
47,Bobby Rainey,3000,NYG,RB,PHI,6.8796,2.4804,4.68
48,Matt Asiata,4300,MIN,RB,DET,19.1906,7.6494,13.42
49,Justin Forsett,3000,DET,RB,MIN,,,2.33
50,Ronnie Hillman,3000,MIN,RB,DET,6.32,0,3.16
51,Dwayne Washington,3200,DET,RB,MIN,5.7,0,2.85
52,DeAngelo Williams,4500,PIT,RB,BAL,9.504,0.096,4.8
53,Le'Veon Bell,7700,PIT,RB,BAL,26.9215,19.8985,23.41
54,Zach Zenner,3000,DET,RB,MIN,5.5704,2.8696,4.22
55,Theo Riddick,4900,DET,RB,MIN,18.8404,9.2796,14.06
56,Chris Ivory,3200,JAC,RB,KCC,10.2201,2.3199,6.27
57,T.J. Yeldon,3600,JAC,RB,KCC,13.9986,4.1814,9.09
58,Spencer Ware,7200,KCC,RB,JAC,20.0299,10.5501,15.29
59,Charcandrick West,4400,KCC,RB,JAC,12.3372,4.2228,8.28
60,Bishop Sankey,3000,KCC,RB,JAC,,,3.2
61,player,salary,team,pos,opp,ceil,floor,fpts
